File name, prediction
MEL_dia36_utt5_negative_SAD,neutral
MEL_dia86_utt0_neutral_NEU,disgust
MEL_dia0_utt8_neutral_NEU,fear
MEL_dia55_utt4_neutral_NEU,happy
MEL_dia53_utt7_negative_SAD,neutral
MEL_dia64_utt8_positive_NEU,neutral
MEL_dia28_utt1_negative_HAP,neutral
MEL_dia61_utt7_negative_SAD,neutral
MEL_dia46_utt6_negative_NEU,happy
MEL_dia43_utt1_neutral_NEU,neutral
MEL_dia87_utt0_negative_NEU,neutral
MEL_dia84_utt4_negative_SAD,happy
MEL_dia50_utt3_neutral_NEU,neutral
MEL_dia75_utt0_neutral_NEU,neutral
MEL_dia16_utt8_neutral_NEU,neutral
MEL_dia23_utt6_negative_DIS,neutral
MEL_dia12_utt7_negative_SAD,happy
MEL_dia17_utt18_neutral_NEU,neutral
MEL_dia45_utt5_positive_HAP,happy
MEL_dia49_utt3_negative_NEU,fear
MEL_dia81_utt5_neutral_NEU,neutral
MEL_dia56_utt2_negative_HAP,happy
MEL_dia58_utt4_negative_NEU,neutral
MEL_dia49_utt7_negative_NEU,neutral
MEL_dia40_utt2_negative_DIS,neutral
MEL_dia7_utt0_positive_NEU,neutral
MEL_dia6_utt15_negative_SAD,disgust
MEL_dia11_utt3_positive_NEU,happy
MEL_dia3_utt1_negative_FEA,sad
MEL_dia21_utt4_negative_SAD,sad
MEL_dia93_utt3_negative_NEU,neutral
MEL_dia57_utt2_negative_HAP,neutral
MEL_dia4_utt6_negative_DIS,neutral
MEL_dia4_utt10_positive_NEU,neutral
MEL_dia17_utt14_negative_DIS,neutral
MEL_dia75_utt1_neutral_NEU,neutral
MEL_dia15_utt9_negative_FEA,neutral
MEL_dia0_utt5_neutral_NEU,neutral
MEL_dia32_utt18_neutral_NEU,neutral
MEL_dia33_utt7_neutral_NEU,neutral
MEL_dia12_utt19_positive_HAP,fear
MEL_dia56_utt7_negative_HAP,neutral
MEL_dia41_utt11_negative_SAD,neutral
MEL_dia54_utt1_negative_NEU,neutral
MEL_dia38_utt0_negative_HAP,happy
MEL_dia81_utt12_neutral_NEU,neutral
MEL_dia88_utt2_negative_DIS,fear
MEL_dia47_utt6_negative_SAD,neutral
MEL_dia0_utt10_negative_FEA,neutral
MEL_dia17_utt2_negative_NEU,neutral
MEL_dia88_utt7_neutral_NEU,neutral
MEL_dia58_utt5_positive_NEU,happy
MEL_dia32_utt1_positive_HAP,neutral
MEL_dia6_utt13_neutral_NEU,neutral
MEL_dia4_utt8_positive_NEU,neutral
MEL_dia47_utt1_negative_SAD,sad
MEL_dia46_utt8_negative_HAP,happy
MEL_dia36_utt3_neutral_NEU,neutral
MEL_dia65_utt0_positive_NEU,neutral
MEL_dia18_utt7_negative_FEA,neutral
MEL_dia39_utt3_negative_NEU,neutral
MEL_dia58_utt15_neutral_NEU,happy
MEL_dia76_utt18_positive_HAP,disgust
MEL_dia78_utt0_negative_SAD,neutral
MEL_dia37_utt5_negative_NEU,neutral
MEL_dia20_utt5_negative_NEU,neutral
MEL_dia15_utt15_positive_HAP,sad
MEL_dia91_utt0_negative_NEU,neutral
MEL_dia17_utt3_negative_DIS,neutral
MEL_dia12_utt10_negative_NEU,sad
MEL_dia51_utt3_negative_NEU,neutral
MEL_dia22_utt2_negative_NEU,sad
MEL_dia47_utt17_neutral_NEU,neutral
MEL_dia0_utt7_neutral_NEU,neutral
MEL_dia76_utt17_neutral_NEU,sad
MEL_dia26_utt3_neutral_NEU,neutral
MEL_dia66_utt9_positive_HAP,neutral
MEL_dia28_utt9_negative_SAD,happy
MEL_dia51_utt2_neutral_NEU,happy
MEL_dia36_utt0_negative_NEU,neutral
MEL_dia24_utt4_positive_HAP,happy
MEL_dia11_utt0_negative_SAD,neutral
MEL_dia69_utt2_neutral_NEU,neutral
MEL_dia35_utt3_positive_NEU,happy
MEL_dia70_utt0_negative_NEU,disgust
MEL_dia9_utt5_neutral_NEU,neutral
MEL_dia53_utt4_positive_HAP,neutral
MEL_dia25_utt14_neutral_NEU,neutral
MEL_dia17_utt1_negative_NEU,sad
MEL_dia76_utt12_neutral_NEU,neutral
MEL_dia55_utt12_positive_HAP,neutral
MEL_dia40_utt8_negative_FEA,neutral
MEL_dia73_utt6_positive_NEU,neutral
MEL_dia28_utt16_neutral_NEU,happy
MEL_dia29_utt11_negative_HAP,sad
MEL_dia39_utt2_negative_NEU,happy
MEL_dia28_utt0_negative_NEU,happy
MEL_dia81_utt3_positive_HAP,happy
MEL_dia74_utt5_negative_NEU,neutral
MEL_dia0_utt2_neutral_NEU,neutral
MEL_dia40_utt14_negative_SAD,neutral
MEL_dia84_utt5_negative_SAD,happy
MEL_dia47_utt5_positive_NEU,neutral
MEL_dia89_utt4_neutral_NEU,happy
MEL_dia87_utt2_negative_NEU,neutral
MEL_dia69_utt4_negative_NEU,happy
MEL_dia66_utt10_positive_HAP,sad
MEL_dia22_utt20_neutral_NEU,sad
MEL_dia53_utt10_neutral_NEU,disgust
MEL_dia38_utt4_negative_HAP,happy
MEL_dia67_utt8_positive_NEU,happy
MEL_dia63_utt5_negative_SAD,neutral
MEL_dia57_utt5_negative_DIS,disgust
MEL_dia70_utt17_positive_HAP,happy
MEL_dia75_utt3_neutral_NEU,neutral
MEL_dia49_utt0_negative_HAP,neutral
MEL_dia9_utt14_neutral_NEU,sad
MEL_dia71_utt0_positive_HAP,happy
MEL_dia44_utt2_positive_HAP,neutral
MEL_dia47_utt9_negative_NEU,neutral
MEL_dia55_utt11_positive_HAP,neutral
MEL_dia20_utt1_positive_NEU,neutral
MEL_dia40_utt10_positive_HAP,neutral
MEL_dia1_utt1_negative_HAP,happy
MEL_dia78_utt4_negative_NEU,neutral
MEL_dia50_utt2_negative_FEA,sad
MEL_dia64_utt5_positive_NEU,neutral
MEL_dia18_utt2_neutral_NEU,happy
MEL_dia81_utt2_positive_HAP,neutral
MEL_dia25_utt7_neutral_NEU,neutral
MEL_dia54_utt17_positive_HAP,happy
MEL_dia20_utt12_positive_HAP,fear
MEL_dia16_utt0_positive_NEU,neutral
MEL_dia89_utt1_negative_NEU,happy
MEL_dia15_utt14_neutral_NEU,neutral
MEL_dia66_utt3_negative_NEU,neutral
MEL_dia15_utt19_neutral_NEU,neutral
MEL_dia25_utt1_negative_NEU,neutral
MEL_dia59_utt1_positive_NEU,neutral
MEL_dia68_utt3_negative_SAD,neutral
MEL_dia71_utt7_neutral_NEU,neutral
MEL_dia80_utt2_negative_DIS,happy
MEL_dia21_utt7_neutral_NEU,neutral
MEL_dia40_utt7_neutral_NEU,happy
MEL_dia42_utt6_positive_HAP,neutral
MEL_dia11_utt4_negative_NEU,neutral
MEL_dia22_utt14_neutral_NEU,disgust
MEL_dia29_utt10_negative_FEA,neutral
MEL_dia6_utt7_neutral_NEU,happy
MEL_dia70_utt3_positive_NEU,sad
MEL_dia29_utt6_negative_FEA,happy
MEL_dia79_utt5_negative_HAP,neutral
MEL_dia25_utt15_neutral_NEU,neutral
MEL_dia10_utt1_negative_NEU,neutral
MEL_dia21_utt13_positive_HAP,neutral
MEL_dia34_utt16_neutral_NEU,happy
MEL_dia17_utt12_negative_DIS,sad
MEL_dia38_utt1_positive_HAP,neutral
MEL_dia26_utt7_negative_SAD,happy
MEL_dia89_utt9_negative_NEU,neutral
MEL_dia88_utt5_neutral_NEU,neutral
MEL_dia68_utt14_neutral_NEU,neutral
MEL_dia70_utt4_positive_NEU,neutral
MEL_dia29_utt0_negative_NEU,happy
MEL_dia15_utt13_neutral_NEU,neutral
MEL_dia14_utt9_positive_HAP,disgust
MEL_dia66_utt6_neutral_NEU,neutral
MEL_dia62_utt7_neutral_NEU,happy
MEL_dia78_utt9_positive_HAP,happy
MEL_dia24_utt0_neutral_NEU,neutral
MEL_dia82_utt7_neutral_NEU,neutral
MEL_dia22_utt15_positive_HAP,neutral
MEL_dia79_utt7_negative_SAD,neutral
MEL_dia21_utt2_positive_NEU,neutral
MEL_dia54_utt15_negative_SAD,happy
MEL_dia68_utt13_positive_HAP,neutral
MEL_dia70_utt16_negative_SAD,disgust
MEL_dia15_utt11_neutral_NEU,sad
MEL_dia58_utt2_positive_HAP,neutral
MEL_dia79_utt4_positive_HAP,neutral
MEL_dia73_utt7_positive_HAP,neutral
MEL_dia32_utt13_negative_NEU,neutral
MEL_dia25_utt2_negative_SAD,happy
MEL_dia83_utt3_positive_NEU,neutral
MEL_dia76_utt10_negative_NEU,disgust
MEL_dia28_utt13_neutral_NEU,happy
MEL_dia40_utt13_negative_SAD,neutral
MEL_dia22_utt18_positive_HAP,neutral
MEL_dia39_utt6_negative_HAP,happy
MEL_dia32_utt6_positive_NEU,sad
MEL_dia69_utt3_negative_NEU,neutral
MEL_dia48_utt4_positive_HAP,fear
MEL_dia0_utt6_neutral_NEU,neutral
MEL_dia89_utt10_negative_NEU,neutral
MEL_dia5_utt7_negative_NEU,sad
MEL_dia24_utt1_positive_HAP,neutral
MEL_dia58_utt1_negative_HAP,neutral
MEL_dia14_utt5_negative_NEU,neutral
MEL_dia86_utt3_neutral_NEU,neutral
MEL_dia20_utt10_neutral_NEU,neutral
MEL_dia53_utt5_neutral_NEU,sad
MEL_dia5_utt3_negative_NEU,neutral
MEL_dia79_utt2_positive_NEU,happy
MEL_dia49_utt15_negative_NEU,neutral
MEL_dia2_utt0_neutral_NEU,neutral
MEL_dia12_utt13_neutral_NEU,neutral
MEL_dia17_utt19_neutral_NEU,neutral
MEL_dia42_utt1_negative_SAD,neutral
MEL_dia83_utt0_negative_NEU,neutral
MEL_dia82_utt11_neutral_NEU,neutral
MEL_dia55_utt16_neutral_NEU,neutral
MEL_dia12_utt2_negative_SAD,neutral
MEL_dia39_utt13_neutral_NEU,neutral
MEL_dia80_utt5_neutral_NEU,happy
MEL_dia25_utt11_positive_NEU,happy
MEL_dia12_utt17_neutral_NEU,neutral
MEL_dia28_utt8_positive_NEU,happy
MEL_dia85_utt0_neutral_NEU,neutral
MEL_dia46_utt10_neutral_NEU,happy
MEL_dia9_utt9_negative_SAD,happy
MEL_dia82_utt0_positive_NEU,neutral
MEL_dia23_utt1_negative_NEU,neutral
MEL_dia11_utt7_negative_FEA,happy
MEL_dia17_utt20_neutral_NEU,neutral
MEL_dia50_utt5_negative_FEA,happy
MEL_dia39_utt4_negative_NEU,neutral
MEL_dia49_utt11_negative_HAP,neutral
MEL_dia2_utt11_neutral_NEU,neutral
MEL_dia49_utt6_negative_NEU,neutral
MEL_dia18_utt4_negative_FEA,neutral
MEL_dia7_utt3_neutral_NEU,sad
MEL_dia3_utt8_negative_SAD,neutral
MEL_dia17_utt25_neutral_NEU,disgust
MEL_dia64_utt6_neutral_NEU,neutral
MEL_dia61_utt3_neutral_NEU,neutral
MEL_dia70_utt10_negative_DIS,sad
MEL_dia88_utt4_negative_NEU,neutral
MEL_dia16_utt3_negative_NEU,happy
MEL_dia76_utt16_positive_HAP,neutral
MEL_dia26_utt11_negative_SAD,sad
MEL_dia66_utt12_neutral_NEU,neutral
MEL_dia2_utt9_neutral_NEU,neutral
MEL_dia30_utt8_positive_HAP,happy
MEL_dia83_utt2_negative_NEU,sad
MEL_dia79_utt6_neutral_NEU,neutral
MEL_dia34_utt2_positive_HAP,neutral
MEL_dia17_utt17_negative_FEA,neutral
MEL_dia54_utt22_positive_HAP,neutral
MEL_dia24_utt2_negative_NEU,neutral
MEL_dia21_utt3_positive_NEU,sad
MEL_dia8_utt2_neutral_NEU,neutral
MEL_dia56_utt1_negative_NEU,neutral
MEL_dia74_utt0_positive_HAP,neutral
MEL_dia69_utt5_positive_HAP,neutral
MEL_dia67_utt14_neutral_NEU,neutral
MEL_dia21_utt5_positive_HAP,sad
MEL_dia76_utt7_negative_NEU,neutral
MEL_dia32_utt11_negative_SAD,sad
MEL_dia61_utt1_negative_DIS,happy
MEL_dia35_utt5_positive_HAP,happy
MEL_dia13_utt2_positive_NEU,sad
MEL_dia77_utt4_negative_SAD,sad
MEL_dia70_utt8_negative_SAD,happy
MEL_dia49_utt16_neutral_NEU,neutral
MEL_dia76_utt9_negative_NEU,neutral
MEL_dia6_utt3_neutral_NEU,neutral
MEL_dia20_utt6_negative_HAP,happy
MEL_dia63_utt4_positive_HAP,happy
MEL_dia4_utt4_neutral_NEU,neutral
MEL_dia70_utt7_negative_NEU,neutral
MEL_dia60_utt1_neutral_NEU,neutral
MEL_dia10_utt2_negative_NEU,neutral
MEL_dia70_utt15_negative_SAD,sad
MEL_dia52_utt2_neutral_NEU,neutral
MEL_dia54_utt12_negative_NEU,happy
MEL_dia0_utt3_neutral_NEU,neutral
MEL_dia22_utt13_negative_HAP,neutral
MEL_dia89_utt0_negative_NEU,happy
MEL_dia50_utt8_positive_HAP,sad
MEL_dia3_utt9_neutral_NEU,neutral
MEL_dia22_utt16_neutral_NEU,fear
MEL_dia52_utt5_neutral_NEU,neutral
MEL_dia43_utt5_neutral_NEU,neutral
MEL_dia14_utt3_positive_HAP,happy
MEL_dia55_utt1_positive_NEU,neutral
MEL_dia52_utt9_neutral_NEU,neutral
MEL_dia68_utt8_negative_NEU,neutral
MEL_dia3_utt6_negative_NEU,neutral
MEL_dia58_utt12_positive_HAP,happy
MEL_dia15_utt6_negative_FEA,neutral
MEL_dia12_utt8_negative_HAP,neutral
MEL_dia17_utt15_neutral_NEU,neutral
MEL_dia29_utt7_negative_HAP,neutral
MEL_dia54_utt2_negative_NEU,neutral
MEL_dia35_utt0_positive_NEU,sad
MEL_dia70_utt5_negative_NEU,sad
MEL_dia55_utt8_positive_HAP,neutral
MEL_dia73_utt11_neutral_NEU,neutral
MEL_dia67_utt3_positive_HAP,neutral
MEL_dia66_utt11_negative_NEU,neutral
MEL_dia35_utt4_positive_NEU,disgust
MEL_dia2_utt8_positive_HAP,neutral
MEL_dia39_utt11_neutral_NEU,happy
MEL_dia77_utt1_positive_NEU,neutral
MEL_dia39_utt8_neutral_NEU,neutral
MEL_dia54_utt20_positive_HAP,happy
MEL_dia80_utt8_neutral_NEU,neutral
MEL_dia11_utt9_positive_NEU,sad
MEL_dia63_utt1_neutral_NEU,happy
MEL_dia20_utt2_positive_NEU,neutral
MEL_dia58_utt10_negative_SAD,neutral
MEL_dia47_utt7_negative_NEU,neutral
MEL_dia30_utt10_positive_HAP,neutral
MEL_dia46_utt12_positive_HAP,happy
MEL_dia32_utt4_positive_NEU,sad
MEL_dia0_utt13_neutral_NEU,neutral
MEL_dia35_utt2_positive_NEU,happy
MEL_dia78_utt5_negative_NEU,neutral
MEL_dia56_utt3_neutral_NEU,happy
MEL_dia22_utt6_negative_SAD,sad
MEL_dia13_utt4_positive_NEU,neutral
MEL_dia20_utt16_neutral_NEU,neutral
MEL_dia50_utt12_neutral_NEU,neutral
MEL_dia24_utt6_neutral_NEU,neutral
MEL_dia74_utt1_neutral_NEU,neutral
MEL_dia1_utt7_negative_HAP,sad
MEL_dia39_utt0_negative_NEU,happy
MEL_dia87_utt1_neutral_NEU,neutral
MEL_dia1_utt2_negative_HAP,sad
MEL_dia20_utt11_neutral_NEU,neutral
MEL_dia52_utt6_neutral_NEU,neutral
MEL_dia31_utt2_negative_SAD,neutral
MEL_dia73_utt5_neutral_NEU,neutral
MEL_dia47_utt8_neutral_NEU,neutral
MEL_dia43_utt6_neutral_NEU,neutral
MEL_dia67_utt5_positive_NEU,neutral
MEL_dia67_utt0_positive_NEU,neutral
MEL_dia75_utt5_neutral_NEU,neutral
MEL_dia60_utt4_negative_SAD,sad
MEL_dia47_utt16_positive_HAP,neutral
MEL_dia12_utt18_neutral_NEU,neutral
MEL_dia85_utt4_negative_DIS,neutral
MEL_dia86_utt1_neutral_NEU,neutral
MEL_dia22_utt5_neutral_NEU,neutral
MEL_dia28_utt12_neutral_NEU,happy
MEL_dia61_utt5_negative_HAP,disgust
MEL_dia49_utt14_positive_HAP,happy
MEL_dia15_utt10_neutral_NEU,sad
MEL_dia6_utt6_positive_NEU,happy
MEL_dia54_utt8_negative_NEU,neutral
MEL_dia56_utt6_negative_NEU,neutral
MEL_dia45_utt1_negative_NEU,disgust
MEL_dia54_utt21_neutral_NEU,happy
MEL_dia2_utt7_negative_HAP,happy
MEL_dia64_utt16_neutral_NEU,neutral
MEL_dia48_utt6_negative_HAP,happy
MEL_dia74_utt2_positive_NEU,neutral
MEL_dia39_utt12_neutral_NEU,neutral
MEL_dia60_utt2_negative_HAP,sad
MEL_dia26_utt5_positive_NEU,happy
MEL_dia12_utt11_negative_HAP,neutral
MEL_dia42_utt8_neutral_NEU,fear
MEL_dia63_utt6_neutral_NEU,fear
MEL_dia84_utt2_negative_SAD,happy
MEL_dia2_utt1_positive_NEU,neutral
MEL_dia6_utt0_positive_NEU,neutral
MEL_dia83_utt9_negative_SAD,neutral
MEL_dia62_utt6_neutral_NEU,neutral
MEL_dia64_utt11_negative_NEU,sad
MEL_dia8_utt4_positive_NEU,happy
MEL_dia8_utt0_negative_SAD,happy
MEL_dia92_utt5_negative_DIS,happy
MEL_dia5_utt4_negative_NEU,neutral
MEL_dia42_utt2_neutral_NEU,sad
MEL_dia39_utt10_negative_NEU,happy
MEL_dia87_utt5_neutral_NEU,neutral
MEL_dia28_utt14_positive_HAP,neutral
MEL_dia70_utt20_neutral_NEU,sad
MEL_dia93_utt5_negative_NEU,happy
MEL_dia7_utt1_negative_NEU,neutral
MEL_dia51_utt5_negative_NEU,neutral
MEL_dia71_utt4_positive_HAP,neutral
MEL_dia79_utt0_positive_NEU,happy
MEL_dia21_utt10_neutral_NEU,neutral
MEL_dia54_utt4_negative_NEU,neutral
MEL_dia54_utt14_negative_SAD,neutral
MEL_dia82_utt9_negative_NEU,neutral
MEL_dia28_utt10_neutral_NEU,happy
MEL_dia31_utt3_neutral_NEU,happy
MEL_dia7_utt5_positive_NEU,fear
MEL_dia46_utt3_positive_HAP,neutral
MEL_dia67_utt2_positive_NEU,neutral
MEL_dia80_utt9_neutral_NEU,neutral
MEL_dia73_utt9_neutral_NEU,neutral
MEL_dia53_utt6_negative_SAD,neutral
MEL_dia54_utt9_positive_NEU,neutral
MEL_dia3_utt5_negative_DIS,happy
MEL_dia55_utt2_positive_HAP,neutral
MEL_dia41_utt6_negative_DIS,neutral
MEL_dia2_utt12_positive_HAP,happy
MEL_dia53_utt2_positive_HAP,neutral
MEL_dia37_utt1_negative_NEU,happy
MEL_dia88_utt10_neutral_NEU,neutral
MEL_dia6_utt5_negative_SAD,happy
MEL_dia55_utt14_positive_HAP,disgust
MEL_dia32_utt15_neutral_NEU,neutral
MEL_dia47_utt4_neutral_NEU,neutral
MEL_dia28_utt3_negative_SAD,happy
MEL_dia22_utt21_neutral_NEU,sad
MEL_dia25_utt13_neutral_NEU,happy
MEL_dia29_utt8_negative_NEU,neutral
MEL_dia70_utt2_positive_NEU,fear
MEL_dia71_utt1_neutral_NEU,neutral
MEL_dia62_utt8_neutral_NEU,happy
MEL_dia16_utt2_negative_NEU,happy
MEL_dia55_utt13_positive_HAP,fear
MEL_dia55_utt10_positive_HAP,happy
MEL_dia71_utt12_positive_HAP,sad
MEL_dia59_utt8_positive_HAP,neutral
MEL_dia9_utt12_negative_NEU,neutral
MEL_dia6_utt1_positive_NEU,neutral
MEL_dia30_utt11_negative_NEU,neutral
MEL_dia59_utt0_neutral_NEU,neutral
MEL_dia67_utt13_neutral_NEU,neutral
MEL_dia86_utt4_neutral_NEU,neutral
MEL_dia65_utt5_positive_NEU,neutral
MEL_dia41_utt0_negative_NEU,sad
MEL_dia71_utt11_neutral_NEU,neutral
MEL_dia39_utt7_positive_NEU,neutral
MEL_dia47_utt0_negative_SAD,happy
MEL_dia42_utt4_negative_NEU,happy
MEL_dia32_utt7_positive_NEU,neutral
MEL_dia53_utt12_positive_HAP,sad
MEL_dia49_utt4_negative_NEU,neutral
MEL_dia61_utt8_positive_HAP,neutral
MEL_dia41_utt13_neutral_NEU,neutral
MEL_dia81_utt10_neutral_NEU,neutral
MEL_dia49_utt9_negative_HAP,happy
MEL_dia12_utt1_positive_NEU,fear
MEL_dia67_utt11_positive_HAP,sad
MEL_dia64_utt7_positive_NEU,neutral
MEL_dia56_utt9_negative_NEU,happy
MEL_dia48_utt5_positive_HAP,fear
MEL_dia43_utt0_neutral_NEU,neutral
MEL_dia32_utt5_negative_SAD,neutral
MEL_dia29_utt13_neutral_NEU,happy
MEL_dia59_utt6_positive_HAP,happy
MEL_dia13_utt1_negative_NEU,neutral
MEL_dia76_utt0_positive_NEU,sad
MEL_dia16_utt7_negative_NEU,neutral
MEL_dia30_utt5_negative_DIS,neutral
MEL_dia47_utt11_positive_NEU,neutral
MEL_dia5_utt5_negative_NEU,sad
MEL_dia66_utt1_positive_HAP,neutral
MEL_dia17_utt16_negative_FEA,neutral
MEL_dia54_utt19_positive_HAP,happy
MEL_dia34_utt1_negative_DIS,neutral
MEL_dia5_utt8_negative_NEU,happy
MEL_dia12_utt12_positive_HAP,neutral
MEL_dia11_utt6_positive_NEU,neutral
MEL_dia58_utt16_negative_SAD,neutral
MEL_dia79_utt3_positive_NEU,happy
MEL_dia22_utt17_positive_HAP,neutral
MEL_dia4_utt14_neutral_NEU,neutral
MEL_dia88_utt13_neutral_NEU,neutral
MEL_dia28_utt2_negative_NEU,happy
MEL_dia66_utt7_neutral_NEU,happy
MEL_dia86_utt2_positive_NEU,neutral
MEL_dia93_utt2_neutral_NEU,neutral
MEL_dia64_utt9_negative_NEU,happy
MEL_dia59_utt4_positive_NEU,disgust
MEL_dia1_utt6_positive_HAP,sad
MEL_dia22_utt4_negative_SAD,neutral
MEL_dia63_utt7_negative_NEU,sad
MEL_dia20_utt4_negative_NEU,happy
MEL_dia31_utt0_negative_NEU,happy
MEL_dia50_utt7_negative_SAD,neutral
MEL_dia55_utt0_negative_NEU,happy
MEL_dia66_utt8_negative_NEU,sad
MEL_dia30_utt6_negative_NEU,neutral
MEL_dia15_utt0_negative_HAP,sad
MEL_dia72_utt0_negative_NEU,happy
MEL_dia39_utt5_negative_NEU,sad
MEL_dia83_utt8_neutral_NEU,neutral
MEL_dia33_utt3_neutral_NEU,neutral
MEL_dia9_utt17_neutral_NEU,happy
MEL_dia37_utt3_negative_FEA,neutral
MEL_dia58_utt13_positive_HAP,neutral
MEL_dia28_utt6_negative_NEU,neutral
MEL_dia18_utt8_negative_FEA,neutral
MEL_dia15_utt12_neutral_NEU,neutral
MEL_dia14_utt6_negative_HAP,happy
MEL_dia70_utt18_neutral_NEU,neutral
MEL_dia14_utt2_positive_HAP,neutral
MEL_dia59_utt7_positive_HAP,neutral
MEL_dia59_utt3_positive_NEU,neutral
MEL_dia47_utt15_positive_HAP,happy
MEL_dia46_utt1_negative_HAP,neutral
MEL_dia22_utt12_negative_HAP,happy
MEL_dia64_utt10_neutral_NEU,neutral
MEL_dia33_utt0_negative_SAD,neutral
MEL_dia5_utt2_negative_NEU,neutral
MEL_dia72_utt14_negative_NEU,neutral
MEL_dia49_utt1_negative_HAP,neutral
MEL_dia47_utt13_positive_NEU,happy
MEL_dia29_utt12_positive_HAP,happy
MEL_dia21_utt12_neutral_NEU,neutral
MEL_dia23_utt8_negative_NEU,sad
MEL_dia76_utt1_positive_NEU,neutral
MEL_dia33_utt6_negative_SAD,happy
MEL_dia71_utt10_neutral_NEU,happy
MEL_dia82_utt10_neutral_NEU,neutral
MEL_dia9_utt16_neutral_NEU,neutral
MEL_dia86_utt9_neutral_NEU,happy
MEL_dia64_utt13_neutral_NEU,sad
MEL_dia66_utt2_positive_HAP,neutral
MEL_dia30_utt9_positive_HAP,fear
MEL_dia54_utt6_positive_NEU,fear
MEL_dia48_utt0_neutral_NEU,neutral
MEL_dia32_utt12_negative_HAP,neutral
MEL_dia9_utt2_negative_SAD,neutral
MEL_dia78_utt7_negative_HAP,neutral
MEL_dia18_utt6_negative_FEA,fear
MEL_dia46_utt0_positive_HAP,neutral
MEL_dia72_utt12_negative_NEU,happy
MEL_dia45_utt2_neutral_NEU,neutral
MEL_dia18_utt9_positive_NEU,neutral
MEL_dia81_utt9_neutral_NEU,neutral
MEL_dia32_utt17_negative_FEA,neutral
MEL_dia56_utt5_negative_HAP,happy
MEL_dia54_utt0_negative_NEU,neutral
MEL_dia62_utt0_neutral_NEU,neutral
MEL_dia9_utt10_neutral_NEU,sad
MEL_dia68_utt7_negative_HAP,neutral
MEL_dia30_utt2_negative_HAP,happy
MEL_dia20_utt3_positive_NEU,neutral
MEL_dia92_utt2_positive_NEU,disgust
MEL_dia51_utt1_negative_HAP,neutral
MEL_dia61_utt4_neutral_NEU,disgust
MEL_dia71_utt8_neutral_NEU,sad
MEL_dia70_utt1_neutral_NEU,sad
MEL_dia18_utt5_negative_FEA,happy
MEL_dia71_utt9_neutral_NEU,neutral
MEL_dia28_utt4_negative_NEU,happy
MEL_dia78_utt2_negative_NEU,neutral
MEL_dia53_utt1_positive_NEU,sad
MEL_dia17_utt0_negative_NEU,neutral
MEL_dia6_utt12_neutral_NEU,neutral
MEL_dia38_utt2_positive_NEU,neutral
MEL_dia8_utt5_neutral_NEU,neutral
MEL_dia55_utt15_positive_HAP,happy
MEL_dia21_utt1_neutral_NEU,fear
MEL_dia53_utt9_positive_HAP,neutral
MEL_dia58_utt14_neutral_NEU,neutral
MEL_dia20_utt13_positive_HAP,neutral
MEL_dia47_utt2_negative_SAD,sad
MEL_dia56_utt8_negative_HAP,happy
MEL_dia86_utt8_neutral_NEU,happy
MEL_dia27_utt0_negative_HAP,neutral
MEL_dia17_utt5_positive_HAP,neutral
MEL_dia16_utt1_negative_NEU,neutral
MEL_dia45_utt7_neutral_NEU,happy
MEL_dia65_utt2_positive_NEU,neutral
MEL_dia15_utt22_positive_HAP,happy
